name,outside_length,inside_length,outside_height,inside_height,outside_width,inside_width,capacity,weight,pup_conversion,category
E,24,23.5,13.5,8.9,8.5,8.21,1978,9460,1,S
F,26.5,25.83,13.5,8.5,8,7.71,1693,9260,0.85,S
H,26.5,25.83,13.5,8.5,8,7.71,1984,9260,1,S
L,26.5,25.83,12.5,7.5,8,7.71,1784.85,8868,0.9,S
N,53,52.5,13.5,8.9,8.5,8.25,3818,14970,1.93,XL
O,40,39.3,13.3,9.16,8,7.71,2989,14380,1.51,PTL
OO,45,44.5,13.5,8.9,8.5,8.25,3230,14100,1.63,PTL
S,40,39.3,12.5,9.1,8,7.67,2788,13820,1.41,PTL
TMB,48,47.5,13.5,8.9,8.5,8.25,3450,15550,1.74,L
TMF,48,47.5,13.5,8.9,8.5,8.25,3450,15550,1.74,L
W,28,27.27,13.5,9.42,8.5,8.17,2210,9720,1.12,S
WW,28,27.5,13.5,8.9,8.5,8.25,1982,9820,1,S
WWS,28,27.5,13.5,8.9,8.5,8.25,1982,9820,1,S
Y,40,39.5,13.5,9.1,8.5,8.25,2898,14380,1.46,PTL
YY,45,44.5,13.5,8.9,8.5,8.25,3230,14750,1.63,PTL
Z,40,39.5,13.5,8.9,8.5,8.25,2863,13278,1.44,L
ZZ,45,44.5,13.5,8.9,8.5,8.25,3230,13900,1.63,L
ZZS,48,47.5,13.5,8.9,8.5,8.25,3450,14310,1.74,L
ZZZ,53,52.5,13.5,8.9,8.5,8.25,3818,14970,1.93,XL
LC,53,52.54,9.17,8.875,8.5,8.25,3830,10750,1.93,XL
SC,28,27.5,9.17,8.875,8.5,8.25,2013.5,5863,1.02,S
MS,28,27.5,13.5,9.1,8.5,8.25,1982,9820,1,S
2WW,56,54.54,27,18.84,17,16.34,4420,19440,2.24,XL
BT,56,54.54,27,18.84,17,16.34,4420,19440,2.24,XL